id,naam,lowershort,uppershort,type,route,afbeelding,door,capaciteit,stad,lat,lon,adress,
1,GMELL.0.002 - Foyer,gmell0002,GMELL0002,,metteenals je de deur binnen gaat,-,hansdeboeck,1,Melle,0,0,Campus Melle,https://goo.gl/maps/ZGGNrKDoD6S2
2,GVESA.1.176 - : debriefingsruimte,gvesa1176,GVESA1176,,-,-,hansdeboeck,24,Gent,0,0,Campus Vesalius,https://goo.gl/maps/ZGGNrKDoD6S3
3,GMELL.1.007,gmell1007,GMELL1007,,trapgat naast de inkom tot aan het eerste verdiepen en dan de gang links en de 3de deur rechts,-,hansdeboeck,1,Melle,0,0,Campus Melle,https://goo.gl/maps/ZGGNrKDoD6S4
4,GMRCG.1.005,gmrcg1005,GMRCG1005,,-,-,hansdeboeck,1,Gent,0,0,Campus Mercator,https://goo.gl/maps/ZGGNrKDoD6S5
5,GMRCG.1.025,gmrcg1025,GMRCG1025,,-,-,hansdeboeck,1,Gent,0,0,Campus Mercator,https://goo.gl/maps/ZGGNrKDoD6S6
6,GMELL.-1.005 (laptoplokaal),gmell1005,GMELL1005,,-,-,hansdeboeck,20,Melle,0,0,Campus Melle,https://goo.gl/maps/ZGGNrKDoD6S7
7,GLEDE.0.104 (Kattekwaad),kattekwaad,GLEDE0104,,-,-,hansdeboeck,1,Gent,0,0,Campus Ledeganck,https://goo.gl/maps/ZGGNrKDoD6S8
8,GSCHP.0.251,gschp0251,GSCHP0251,,-,-,hansdeboeck,25,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S9
9,GMELL.1.016,gmell1016,GMELL1016,,inkomhal de trap extreem rechts en dan rechts van de gang de glazen deuren,-,hansdeboeck,1,Melle,0,0,Campus Melle,https://goo.gl/maps/ZGGNrKDoD6S10
10,GSCHP.1.218,gschp1218,GSCHP1218,,-,-,hansdeboeck,70,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S11
11,GSCHP.1.121,gschp1121,GSCHP1121,,-,-,hansdeboeck,19,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S12
12,GSCHP.1.104,gschp1104,GSCHP1104,,-,-,hansdeboeck,30,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S13
13,GSCHP.1.215,gschp1215,GSCHP1215,,-,-,hansdeboeck,35,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S14
14,GSCHP.1.252,gschp1252,GSCHP1252,,-,-,hansdeboeck,24,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S15
15,GSCHP.1.105,gschp1105,GSCHP1105,,-,-,hansdeboeck,53,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S16
16,GSCHP.1.214,gschp1214,GSCHP1214,,-,-,hansdeboeck,90,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S17
17,GSCHP.1.212,gschp1212,GSCHP1212,,-,-,hansdeboeck,90,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S18
18,GSCHP.1.213,gschp1213,GSCHP1213,,-,-,hansdeboeck,90,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S19
19,GSCHP.1.102,gschp1102,GSCHP1102,,-,-,hansdeboeck,15,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S20
20,GSCHP.1.052,gschp1052,GSCHP1052,,-,-,hansdeboeck,30,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S21
21,GSCHP.1.053,gschp1053,GSCHP1053,,-,-,hansdeboeck,40,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S22
22,GSCHP.1.055,gschp1055,GSCHP1055,,-,-,hansdeboeck,30,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S23
23,GSCHP.1.056,gschp1056,GSCHP1056,,-,-,hansdeboeck,30,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S24
24,GSCHP.1.057,gschp1057,GSCHP1057,,-,-,hansdeboeck,30,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S25
25,GSCHP.1.221,gschp1221,GSCHP1221,,-,-,hansdeboeck,20,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S26
26,GSCHP.1.217,gschp1217,GSCHP1217,,-,-,hansdeboeck,30,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S27
27,GSCHP.1.255,gschp1255,GSCHP1255,,-,-,hansdeboeck,18,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S28
28,GSCHP.1.254,gschp1254,GSCHP1254,,-,-,hansdeboeck,30,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S29
29,GSCHP.1.257,gschp1257,GSCHP1257,,-,-,hansdeboeck,22,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S30
30,GSCHP.1.060,gschp1060,GSCHP1060,,-,-,hansdeboeck,20,Gent,0,0,Campus Schoonmeersen,https://goo.gl/maps/ZGGNrKDoD6S31
